Categoria_de_premiação,Nome_do_projeto,Escola,Cidade,Estado,Ano
Society for Science & the Public Award for Community Innovation ,Otimização do sistema do ar condicionado automotivo com a água dissipada pelo mesmo,SESI - Unidade Operacional de Educação São Gonçalo do Amarante, Sao Goncalo Do Amarante,Rio Grande do Norte (RN),2019
Society for Science & the Public Award for Community Innovation ,Avaliação da atividade larvicida do extrato etanólico da Hymenaeastigonocarpa (jatobá do cerrado) frente ao Aedes aegypti,Colégio Militar de Campo Grande, Campo Grande,Mato Grosso do Sul (MS),2019
3º Lugar em Mentalidade Marítima ,Qualidade ambiental das areias de praia do litoral norte gaúcho,IFRS - Campus Osório, Osorio,Rio Grande do Sul (RS),2019
2º Lugar em Mentalidade Marítima ,ROV (veículo controlado remotamente) – ajudando na manutenção de média e pequenas embarcações e na busca por vítimas de acidentes em rios e lagos,E.E. José do Patrocínio, Macapa,Amapá (AP),2019
1º Lugar em Mentalidade Marítima ,Aplicação dabucha vegetal; como contenção e filtração de resíduos poluentes,Campo não encontrado,Campo não encontrado,Campo não encontrado,2019
Prêmio Defesa Civil do Estado de São Paulo ,Medidor de chuva dirigida,IFPR - Campus Curitiba, Curitiba,Paraná (PR),2019
Prêmio Defesa Civil do Estado de São Paulo ,Lampião reciclado,E.E. Professora Josefa Sampaio Marinho, Pedro Avelino,Rio Grande do Norte (RN),2019
Prêmio Defesa Civil do Estado de São Paulo ,Extensometria com substrutura,CEEP Pedro Boaretto Neto, Cascavel,Paraná (PR),2019
Menção Honrosa em Tecnologia e Desenvolvimento Social ,Redução da toxicidade de efluentes de curtumes até às condições de água potável,Etec Prof. Carmelino Corrêa Júnior (Escola Agrícola), Franca,São Paulo (SP),2019
Menção Honrosa em Tecnologia e Desenvolvimento Social ,Lampião reciclado,E.E. Professora Josefa Sampaio Marinho, Pedro Avelino,Rio Grande do Norte (RN),2019
Destaque em Tecnologia e Desenvolvimento Social ,S.O.S Casa: síntese e aplicação de biomateriais de resíduos sólidos na melhoria estrutural de casas de taipa (pau-a-pique),E.E.M. Ronaldo Caminha Barbosa, Cascavel,Ceará (CE),2019
Prêmio Associação dos Engenheiros Politécnicos ,"A casa de açaí: material de construção à base de caroço de açaí como alternativa segura, sustentável e acessível às comunidades da periferia amazônica",E.E.E.M. Prof ª Ernestina Pereira Maia, Moju,Pará (PA),2019
Prêmio Associação dos Engenheiros Politécnicos ,Paperwash: protótipo de reaproveitamento do papel Kraft produzido para a embalagem do cimento,IFBA - Campus Salvador, Salvador,Bahia (BA),2019
Prêmio Associação dos Engenheiros Politécnicos ,SmartLeg – prótese transfemoral inteligente: fase 3,IFSUL - Unidade Charqueadas, Charqueadas,Rio Grande do Sul (RS),2019
Prêmio Associação dos Engenheiros Politécnicos ,Desenvolvimento de sistema inteligente baseado em smartclothes para medições de conforto térmico e monitoramento da postura da coluna vertebral em ambientes de trabalho,IFRN - Campus Caicó, Caico,Rio Grande do Norte (RN),2019
Prêmio Centro Estadual de Educação Tecnológica Paula Souza ,Análise in vitro do potencial biotecnológico do Oenocarpus bacaba Mart. na prevenção e redução neurodegenerativas de Alzheime,C.E.E.F.M. Delfino Aguiar de Azevedo, Sao Joao Do Paraiso,Maranhão (MA),2019
Prêmio Petrobrás ,Redução da toxicidade de efluentes de curtumes até às condições de água potável,Etec Prof. Carmelino Corrêa Júnior (Escola Agrícola), Franca,São Paulo (SP),2019
Prêmio Petrobrás ,Endopiso: reutilizando o endocarpo lenhoso do Cocus nucifera na produção de piso alternativo,E.E. Educação Profissional Júlio França, Bela Cruz,Ceará (CE),2019
Prêmio Petrobrás ,Interferência da maquiagem e acessórios no reconhecimento facial,CEFET-MG - Unidade BH - Campus II, Belo Horizonte,Minas Gerais (MG),2019
Prêmio Samsung Internet das Coisas ,T-STARK – quarto automatizado inteligente para pacientes de pós- operatório ou com restrição de movimentos,QI Faculdades e Escola Técnica, Sao Leopoldo,Rio Grande do Sul (RS),2019
Prêmio Samsung Internet das Coisas ,ANTI-DRUNK: Dispositivo de segurança para redução de acidentes causados por embriaguez ao volante,IFRN - Campus Mossoró, Mossoro,Rio Grande do Norte (RN),2019
Prêmio Samsung Internet das Coisas ,Sensor de enchentes: método de prevenção para inundações,Complexo Educacional Dom Bosco, Imperatriz,Maranhão (MA),2019
Prêmio Samsung Internet das Coisas ,Desenvolvimento de sistema inteligente baseado em smartclothes para medições de conforto térmico e monitoramento da postura da coluna vertebral em ambientes de trabalho,IFRN - Campus Caicó, Caico,Rio Grande do Norte (RN),2019
Prêmio Samsung Internet das Coisas ,Quadro Vivo automatizado: cultivo em espaços reduzidos,IFC - Campus Rio do Sul, Rio Do Sul,Santa Catarina (SC),2019
Prêmio Samsung Internet das Coisas ,Sistema de auxílio para parada de ônibus para deficientes físicos e visuais,ATUALIZADO EM 04/02/19 – 12H00IFPI - Campus Floriano , Floriano,Piauí (PI),2019
Prêmio Destaque Instituto 3M ,BioCanudo: uma alternativa ecológica para a produção de canudinhos biodegradáveis,E.E. Culto à Ciência, Campinas,São Paulo (SP),2019
Prêmio Destaque Instituto 3M ,Adesivo transdérmico para cicatrização em feridas de diabéticos mellitus (DM) a partir de resíduos vegetais com carotenoides e óleos essenciais,Etec Prof. Dr. José Dagnoni, Santa Barbara D'Oeste,São Paulo (SP),2019
Prêmio Destaque Instituto 3M ,Interactive Braille: kit para alfabetizaçãoem Braille a baixo custo,IFSP - Campus Campinas, Campinas,São Paulo (SP),2019
Prêmio Inovação e Diversidade DOW ,Sistema de auxílio para parada de ônibus para deficientes físicos e visuais,ATUALIZADO EM 04/02/19 – 12H00IFPI - Campus Floriano , Floriano,Piauí (PI),2019
Prêmio Indústria 4.0 Deloitte ,Sistema de irrigação hidropônico automatizado,Escola Salesiana São José, Campinas,São Paulo (SP),2019
Prêmio Indústria 4.0 Deloitte ,BioCanudo: uma alternativa ecológica para a produção de canudinhos biodegradáveis,E.E. Culto à Ciência, Campinas,São Paulo (SP),2019
Prêmio Indústria 4.0 Deloitte ,Da água suja à energia limpa: utilizando o potencial energético do Rio Tietê,Colégio Renascença, Sao Paulo,São Paulo (SP),2019
4º Lugar em Ciências Agrárias ,"Sistema de captação de água de poços artesianos, sem uso de energia elétrica em áreas de assentamento do município de Bodó-RN",E.E. Sérvulo Pereira de Araújo Ensino Médio, Bodo,Rio Grande do Norte (RN),2019
4º Lugar em Ciências Agrárias ,Avaliação da aplicabilidade do caroço do açaí como massa modelável: um estudo social da mobilização econômica e impactos socioambientais – fase II,Sistema de Ensino Inove, Abaetetuba,Pará (PA),2019
4º Lugar em Ciências Agrárias ,Uso de diferentes concentrações de uva-do-japão (Hoveniadulcis) no controle do fungo Colletotrichum gloeosporioides in vitro e em Capsicumbaccatum var.pendulum,Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2019
4º Lugar em Ciências Biológicas ,Análise de compostos sensibilizadores dos mecanismos de resistência das bactérias em extratos orgânicos da Amburana cearensis,IFRJ - Campus Maracanã, Rio De Janeiro - Rj,Tocantins (TO),2019
4º Lugar em Ciências Biológicas ,Avaliação do efeito de extratos trevinho (Trifoliumrepens) e tiririca (Cyperusrotundus) no cultivo in vitro de orquídeas,Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2019
4º Lugar em Ciências Biológicas ,Aquaponia familiar e escolar: uma alternativa sustentável para produção e segurança alimentar,E.E. Prof ª Hermelina de Albuquerque Passarella, Mairipora,São Paulo (SP),2019
4º Lugar em Ciências da Saúde ,Avaliação da atividade larvicida do extrato etanólico da Hymenaea stigonocarpa (jatobá do cerrado) frente ao Aedes aegypti,Colégio Militar de Campo Grande, Campo Grande,Mato Grosso do Sul (MS),2019
4º Lugar em Ciências Exatas e da Terra ,T-STARK – quarto automatizado inteligente para pacientes de pós- operatório ou com restrição de movimentos,QI Faculdades e Escola Técnica, Sao Leopoldo,Rio Grande do Sul (RS),2019
4º Lugar em Ciências Exatas e da Terra ,Degradação enzimática de resíduos orgânicos para obtenção de blocos sustentáveis e adubo natural,Etec Raposo Tavares, Sao Paulo,São Paulo (SP),2019
4º Lugar em Ciências Exatas e da Terra ,Inovação na produção sustentável de poliuretano,Etec de Suzano, Suzano,São Paulo (SP),2019
4º Lugar em Ciências Humanas ,"Cabelo, autoestima e construção da identidade da menina negra no ensino fundamental II",E.E. Leila Mara Avelino, Sumare,São Paulo (SP),2019
4º Lugar em Ciências Humanas ,Combate ao mal do século,Etec de Suzano, Suzano,São Paulo (SP),2019
4º Lugar em Ciências Sociais Aplicadas ,Estudos acerca das variações linguísticas de língua brasileira de sinais no litoral norte gaúcho,IFRS - Campus Osório, Osorio,Rio Grande do Sul (RS),2019
4º Lugar em Engenharia ,Estudo da agregação de extratos naturais à bio-mulching para uso na agricultura como forma de prevenção e controle de pragas,E.E.E.M. Elisa Tramontina, Carlos Barbosa,Rio Grande do Sul (RS),2019
4º Lugar em Engenharia ,"O uso do polietileno, contido nas embalagens de shampoo, na produção de uma telha ecológica",E.E. Monsenhor Raimundo Gurgel, Mossoro,Rio Grande do Norte (RN),2019
4º Lugar em Engenharia ,Aplicação de argilas para remoção de pesticidas presentes em meio aquoso,IFRN - Campus Natal - Zona Norte, Natal,Rio Grande do Norte (RN),2019
4º Lugar em Engenharia ,Saburâmica: uma opção ecológica,E.E. Doutor José Fernandes de Melo, Pau Dos Ferros,Rio Grande do Norte (RN),2019
3º Lugar em Ciências Agrárias ,Uso do produto “Bemisia’s” óleo de algodão no combate à tripes (Thysanoptera) e da cigarrinha verde (Empoascakraemeri) nas plantações de feijão no município de Severiano Melo - RN,E.E. Severiano Melo, Severiano Melo,Rio Grande do Norte (RN),2019
3º Lugar em Ciências Agrárias ,O uso do fio da garrafa PET na construção de cercas ecológicas para ovinos no semiárido nordestino,E.E. Monsenhor Raimundo Gurgel, Mossoro,Rio Grande do Norte (RN),2019
3º Lugar em Ciências Biológicas ,Análise das atividades antitumorais da Synadenium grantii,IFRJ - Campus Rio de Janeiro, Rio De Janeiro,Rio de Janeiro (RJ),2019
3º Lugar em Ciências Biológicas ,"Seaweedplastic: criação de um plástico feito à base de algas marinhas (Gracilariabirdiae), a fim de retardar o processo de oxidação das frutas",Campo não encontrado,Campo não encontrado,Campo não encontrado,2019
3º Lugar em Ciências da Saúde ,Nanocris: desenvolvimento e caracterização de nanocápsulas de núcleo lipídico contendo crisina para tratamento de melanoma cutâneo,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2019
3º Lugar em Ciências Exatas e da Terra ,Avaliação da atividade inseticida de extratos orgânicos da Jatropha gossypiifolia (pinhão-roxo) frente ao Aedes aegypti e Sitophiluszeamais,IFAL - Campus Palmeira dos Índios, Palmeira Dos Indios,Alagoas (AL),2019
3º Lugar em Ciências Exatas e da Terra ,Sistema de auxílio na locomoção de deficientes visuais 2.0,E.T.E. Frederico Guilherme Schmidt, Sao Leopoldo,Rio Grande do Sul (RS),2019
3º Lugar em Ciências Exatas e da Terra ,Síntese de partículas de magnetita associadas a carvão ativo e poliuretano para adsorção de corantes e íons de Cd²+ e Co²+,Etec Irmã Agostina, Sao Paulo,São Paulo (SP),2019
3º Lugar em Ciências Humanas ,Interactive Braille: kit para alfabetização em Braille a baixo custo,IFSP - Campus Campinas, Campinas,São Paulo (SP),2019
3º Lugar em Ciências Humanas ,Desafio Alfa: a tecnologia transformando a sala de aula,E.E.B. Irmã Irene, Santa Cecilia,Santa Catarina (SC),2019
3º Lugar em Ciências Sociais Aplicadas ,Texturas e sensações a favor da inclusão social,E.E. Elias Salomão, Mateus Leme,Minas Gerais (MG),2019
3º Lugar em Engenharia ,QHA - quarto hospitalar automatizado,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2019
3º Lugar em Engenharia ,Interferência da maquiagem e acessórios no reconhecimento facial,CEFET-MG - Unidade BH - Campus II, Belo Horizonte,Minas Gerais (MG),2019
3º Lugar em Engenharia ,Sensor de enchentes: método de prevenção para inundações,Complexo Educacional Dom Bosco, Imperatriz,Maranhão (MA),2019
3º Lugar em Engenharia ,Sistema automatizado de recolhimento de varal (SARV),Colégio FAAT, Atibaia,São Paulo (SP),2019
2º Lugar em Ciências Agrárias ,Revestimentos comestíveis na pós-colheita de laranjas,Colégio Gabriela Mistral, Palotina,Paraná (PR),2019
2º Lugar em Ciências Biológicas ,LCC: atividade larvicida em mosquitos hematófagos,Escola de Referência em Ensino Médio Aura Sampaio Parente Muniz, Salgueiro,Pernambuco (PE),2019
2º Lugar em Ciências Biológicas ,BioCanudo: uma alternativa ecológica para a produção de canudinhos biodegradáveis,E.E. Culto à Ciência, Campinas,São Paulo (SP),2019
2º Lugar em Ciências da Saúde ,Análise e formulação dos compostos antibióticos da Amburana cearensis frente a culturas deStaphylococcus spp.,IFRJ - Campus Rio de Janeiro, Rio De Janeiro,Rio de Janeiro (RJ),2019
2º Lugar em Ciências Exatas e da Terra ,Samis: uso do sabugo de milho para substituição do poliestireno - fase II,Colégio SESI, Campo Largo,Paraná (PR),2019
2º Lugar em Ciências Exatas e da Terra ,ACAPELA: Aparelho de Comunicação Alternativa para Pessoas com Esclerose Lateral Amiotrófica ,IF Baiano - Campus Valença, Valenca,Bahia (BA),2019
2º Lugar em Ciências Humanas ,Educação de imigrantes haitianos no Brasil: mapeamento das condições de escolarização de haitianos na educação básica brasileira por meio de indicadores educacionais,Colégio Interativa, Londrina,Paraná (PR),2019
2º Lugar em Ciências Humanas ,BooksTech - acervo digital integrado à biblioteca física,Etec de Hortolândia, Hortolandia,São Paulo (SP),2019
2º Lugar em Ciências Sociais Aplicadas ,Prevalência social nas mulheres em tratamento mastológico na cidade de São Paulo: um estudo com base no rastreamento oncológico do Sistema Único de Saúde (SUS),Escola Nova Lourenço Castanho, Sao Paulo,São Paulo (SP),2019
2º Lugar em Engenharia ,"A casa de açaí: material de construção à base de caroço de açaí como alternativa segura, sustentável e acessível às comunidades da periferia amazônica",E.E.E.M. Prof ª Ernestina Pereira Maia, Moju,Pará (PA),2019
2º Lugar em Engenharia ,Paperwash: protótipo de reaproveitamento do papel kraft produzido para a embalagem do cimento,IFBA - Campus Salvador, Salvador,Bahia (BA),2019
2º Lugar em Engenharia ,Captação de pó basáltico,E.E. Sérvulo Pereira de Araújo Ensino Médio, Bodo,Rio Grande do Norte (RN),2019
1º Lugar em Ciências Agrárias ,CATCHPOOH: aproveitamento de resíduospara biossíntese de celulose e confecção de embalagem,IFRS - Campus Osório, Osorio,Rio Grande do Sul (RS),2019
1º Lugar em Ciências Biológicas ,Análise do efeito alelopático de Leucaena leucocephala sobre Lactuca sativa var. crispa e Cecropia sp.,E.E. Teotônio Vilela, Campo Grande,Mato Grosso do Sul (MS),2019
1º Lugar em Ciências Biológicas ,Análise e desenvolvimento de interactomas sob estímulo por agrotóxicos: um estudo de processos biológicos e geração de doenças neurológicas por contaminantes agrícolas,E.E.F.M. Deputado Joaquim de Figueiredo Correia, Iracema,Ceará (CE),2019
1º Lugar em Ciências da Saúde ,Desenvolvimento de cateter bioativo proveniente do aproveitamento do líquido da castanha do caju (Anacardium Occidentale) como alternativa na prevenção de infecção sistêmica,IFTO - Campus Araguaína, Araguaina,Tocantins (TO),2019
